mal_id,episodes,year,synopsis_length,type_CM,type_Movie,type_Music,type_ONA,type_OVA,type_PV,type_Special,type_TV,type_TV.Special,type_Unknown,status_Currently.Airing,status_Finished.Airing,status_Not.yet.aired,source_X4.koma.manga,source_Book,source_Game,source_Light.novel,source_Manga,source_Mixed.media,source_Music,source_Novel,source_Original,source_Other,source_Picture.book,source_Unknown,source_Visual.novel,source_Web.manga,source_Web.novel,rating_G...All.Ages,rating_PG...Children,rating_PG.13...Teens.13.or.older,rating_R...17...violence...profanity.,rating_R....Mild.Nudity,rating_Rx...Hentai,rating_Unknown,season_fall,season_spring,season_summer,season_Unknown,season_winter,genre_Comedy,genre_Fantasy,genre_Action,genre_Adventure,genre_Sci.Fi,genre_Drama,genre_Romance,genre_Slice.of.Life,genre_Hentai,genre_Supernatural,genre_Avant.Garde,genre_Mystery,genre_Ecchi,genre_Sports,genre_Horror,genre_Suspense,genre_Award.Winning,genre_Gourmet,genre_Boys.Love,genre_Girls.Love,genre_Erotica,theme_Music,theme_School,theme_Historical,theme_Mecha,theme_Anthropomorphic,theme_Parody,theme_Adult.Cast,theme_Military,theme_Super.Power,theme_Martial.Arts,theme_Space,theme_Mythology,theme_Harem,theme_Isekai,theme_Psychological,theme_Idols..Female.,theme_Mahou.Shoujo,theme_Strategy.Game,theme_Educational,theme_Team.Sports,theme_Detective,theme_Gag.Humor,theme_Racing,theme_Gore,theme_CGDCT,demo_Kids,demo_Shounen,demo_Seinen,demo_Shoujo,demo_Josei,studio_Toei.Animation,studio_Sunrise,studio_J.C.Staff,studio_TMS.Entertainment,studio_Madhouse,studio_Production.I.G,studio_Shanghai.Animation.Film.Studio,studio_Studio.Deen,studio_OLM,studio_Studio.Pierrot,studio_Shin.Ei.Animation,studio_A.1.Pictures,studio_DLE,studio_Nippon.Animation,studio_AIC,studio_Tatsunoko.Production,studio_Bones,studio_Xebec,studio_Shaft,studio_T.Rex,studio_Gonzo,studio_Kyoto.Animation,studio_SILVER.LINK.,studio_LIDENFILMS,studio_AQUA.ARIS,studio_Satelight,studio_X..Brains.Base..,studio_Arms,studio_MAPPA,studio_Seven,producer_NHK,producer_TV.Tokyo,producer_Aniplex,producer_Lantis,producer_Movic,producer_Kadokawa,producer_AT.X,producer_Pony.Canyon,producer_Bandai.Visual,producer_Fuji.TV,producer_Dentsu,producer_KlockWorx,producer_Kodansha,producer_Shueisha,producer_Sotsu,producer_Mainichi.Broadcasting.System,producer_Pink.Pineapple,producer_bilibili,producer_TBS,producer_Tokyo.MX,producer_DAX.Production,producer_Tencent.Video,producer_BS11,producer_Sanrio,producer_TV.Asahi,producer_Kadokawa.Shoten,producer_Nippon.Television.Network,producer_Genco,producer_Magic.Capsule,producer_Crunchyroll,licensor_Funimation,licensor_Sentai.Filmworks,licensor_Discotek.Media,licensor_ADV.Films,licensor_Media.Blasters,licensor_Aniplex.of.America,licensor_VIZ.Media,licensor_Bandai.Entertainment,licensor_Geneon.Entertainment.USA,licensor_Crunchyroll,licensor_Nozomi.Entertainment,licensor_Central.Park.Media,licensor_Kitty.Media,licensor_GKIDS,licensor_Critical.Mass.Video,licensor_NuTech.Digital,licensor_Maiden.Japan,licensor_Manga.Entertainment,licensor_NYAV.Post,licensor_NIS.America,stream_Crunchyroll,stream_Netflix,stream_HIDIVE,stream_Bahamut.Anime.Crazy,stream_Bilibili.Global,stream_Aniplus.TV,stream_Laftel,stream_Ani.One.Asia,stream_Bilibili,stream_Muse.Asia,stream_Anime.Digital.Network,stream_CatchPlay,stream_MeWatch,stream_iQIYI,stream_Aniplus.Asia,stream_Shahid,stream_Sushiroll,stream_Hulu,stream_Animax.Korea,stream_Animekey,num_characters,num_main_characters,num_supporting_characters,sum_character_favorites,avg_character_favorites,max_character_favorites,avg_about_length,avg_nicknames_per_character,num_seiyuu,num_main_seiyuu,num_support_seiyuu,num_music_people,num_music_entries,num_op_entries,num_ed_entries,num_insert_entries,num_recommendations_made,num_unique_recommendations_made,Y_popularity,Y_score_global
873,26,2006,944,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,5,34,862,22.1025641025641,539,709.179487179487,1,86,19,67,50,50,6,7,2,9,9,2718,6.85
48,26,2002,870,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,5,19,1206,50.25,380,622.083333333333,1,112,42,73,149,149,6,9,1,39,39,1393,6.94
298,12,2003,550,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,17,286,15.0526315789474,93,503.842105263158,1,95,12,83,73,73,3,4,0,10,10,2864,6.55
1994,1,,291,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,137,22.8333333333333,38,916,1,6,2,4,1,1,0,0,0,,,6399,6.11
11375,1,,216,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,42,3.5,39,75.5833333333333,1,9,4,5,14,14,0,1,0,7,7,5376,7.04
1487,1,,403,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,16,1183,62.2631578947369,380,495.473684210526,1,76,16,64,50,50,2,3,1,1,1,4847,6.62
15219,1,,503,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,10,0.833333333333333,9,158.25,1,3,0,3,,,,,,,,7722,6.3
47653,14,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,470,,,,,,,,,,,,21381,
52399,1,,418,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,1,0,0,0,,,20862,
58985,12,2024,460,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,11,0,0,0,0,,8,2,6,2,2,0,0,0,3,3,6424,5.43
